행정구역,,인구,면적(단위:m2)
부산광역시,부산광역시 강서구,129566,181495481
,부산광역시 금정구,239062,65262004
,부산광역시 기장군,164716,218295909
,부산광역시 남구,274480,26819285
,부산광역시 동구,88165,9864621
,부산광역시 동래구,271247,16631311
,부산광역시 부산진구,357880,29667537
,부산광역시 북구,291132,39369729
,부산광역시 사상구,218094,36101154
,부산광역시 사하구,321004,41770878
,부산광역시 서구,108229,13956280
,부산광역시 수영구,176148,10212703
,부산광역시 연제구,209395,12099534
,부산광역시 영도구,116711,14199798
,부산광역시 중구,41910,2825790
,부산광역시 해운대구,406102,51502753
서울특별시,서울특별시 강남구,545169,39501008
,서울특별시 강동구,436067,24590480
,서울특별시 강북구,313954,23600355
,서울특별시 강서구,591796,41436846
,서울특별시 관악구,500094,29569356
,서울특별시 광진구,351350,17062940
,서울특별시 구로구,406664,20119911
,서울특별시 금천구,232810,13020252
,서울특별시 노원구,532905,35437648
,서울특별시 도봉구,333362,20651082
,서울특별시 동대문구,346194,14215624
,서울특별시 동작구,395963,16353982
,서울특별시 마포구,374035,23850355
,서울특별시 서대문구,309397,17626369
,서울특별시 서초구,430826,46981481
,서울특별시 성동구,300889,16861004
,서울특별시 성북구,442650,24576835
,서울특별시 송파구,675961,33872510
,서울특별시 양천구,458165,17405714
,서울특별시 영등포구,367678,24548198
,서울특별시 용산구,228670,21866145
,서울특별시 은평구,480032,29710905
,서울특별시 종로구,151290,23913172
,서울특별시 중구,126171,9960308
,서울특별시 중랑구,397015,18496083
제주특별자치도,제주특별자치도 서귀포시,181584,871541867
,제주특별자치도 제주시,489405,978669420