도서관명,행정구역,주소
EG글숲 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관1로 18, (이지 더원1차 아파트)108동 내"
GRACE작은도서관,부산광역시 연제구,"부산광역시 연제구 중앙천로 4, (연산동)3층"
Gateway 작은도서관,부산광역시 금정구,"부산광역시 금정구 동현로 122, (서동)동신교회 2층"
LG메트로작은쌈지도서관,부산광역시 남구,"부산광역시 남구 신선로 566-2, (용호동)용호동현장민원실4층"
NFBook,부산광역시 수영구,"부산광역시 수영구 광일로 27, (광안동)6층"
e-편한세상 작은도서관,부산광역시 수영구,부산 수영구 망미동좌수영로 192 수영강변3차 e편한세상APT
닑다작은도서관,부산광역시 중구,"부산광역시 중구 대청로 61-2, (보수동1가)보수동책방골목문화관 6층 ？다 작은도서관"
가락동새마을문고회,부산광역시 강서구,"부산광역시 강서구 가락대로 1476, (죽림동)가락동 행정복지센터"
가람뫼푸른꿈작은도서관,부산광역시 서구,"부산광역시 해운대구 재반로226번길 72, (반여동, 현대일성아파트)현대일성아파트상가 202호"
가야감고개공원작은도서관,부산광역시 부산진구,"부산광역시 부산진구 가야대로548번길 109, (가야동)가야감고개공원작은도서관"
가온길 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관4로 68, (정관 협성르네상스 타운)관리동내(102동 옆)"
가화더테라스Ⅱ 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 구연방곡로 106, (가화만사성 더 테라스 2차)주민공동시설 2층"
가화일광타워 작은도서관,부산광역시 기장군,"부산광역시 기장군 일광면 이천10길 37, (가화일광타워)관리동 1층"
감만꿈터,부산광역시 남구,"부산광역시 남구 우암로 84-1, (감만동)감만종합사회복지관"
감천횃불작은도서관,부산광역시 사하구,"부산광역시 사하구 감내1로175번길 50, (감천동)1층"
갯마을 작은도서관,부산광역시 기장군,"부산광역시 기장군 일광면 삼성3길 17, 임해행정봉사실 내"
거제2동새마을문고작은도서관,부산광역시 연제구,부산 연제구 거제2동아시아드대로22번길 15(거제동)
고맙습니다 보물섬 작은도서관,부산광역시 사상구,"부산광역시 사상구 모라로110번길 129, (모라동)모라종합사회복지관 2층"
고맙습니다.글마루작은도서관,부산광역시 중구,"부산광역시 중구 동영로 87-1, (영주동, 고맙습니다. 글마루 작은 도서관)고맙습니다 글마루작은도서관"
고촌 지혜의 숲 작은도서관,부산광역시 기장군,"부산광역시 기장군 철마면 고촌로 58, (고촌 엘에이치 3단지 아파트)고촌LH3"
고촌LH 작은도서관,부산광역시 기장군,"부산광역시 기장군 철마면 고촌로 11, (고촌엘에이치아파트)인포넷센터내"
고촌휴먼시아 작은도서관,부산광역시 기장군,"부산광역시 기장군 철마면 고촌로44번길 16, (고촌휴먼시아1)109동 내"
공덕작은도서관,부산광역시 금정구,"부산광역시 금정구 체육공원로 705-5, (두구동)2층"
공부 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 달산1길 49, 2층"
공영주차장 작은도서관,부산광역시 기장군,"부산광역시 기장군 기장읍 차성동로 70, 공영주차장 내"
구서1동 작은도서관,부산광역시 금정구,"부산광역시 금정구 수림로72번길 123, (구서동)구서1동 행정복지센터"
구서꿈숲 작은도서관,부산광역시 금정구,"부산광역시 금정구 중앙대로1929번길 55, (구서동)구서동"
구서작은도서관,부산광역시 금정구,"부산광역시 금정구 금강로565번길 15, (구서동)2층"
구평예들작은도서관,부산광역시 사하구,"부산광역시 사하구 을숙도대로745번길 16, (구평동)구평예들작은도서관"
그루터기 작은도서관,부산광역시 동래구,부산광역시 동래구 여고북로 199새소망교회 3층 
그리운힐링피아도서관,부산광역시 부산진구,"부산광역시 부산진구 동천로 116, (전포동)한신밴빌딩 1106호"
그림책도서관,부산광역시 남구,"부산광역시 남구 우암로84번길 29, (감만동)동천어린이집"
극동스타클래스작은도서관,부산광역시 강서구,부산 강서구 명지동명지오션시티2로 71
글누리작은도서관,부산광역시 금정구,"부산광역시 금정구 금정로 135-1, (장전동)222-48"
글로벌도서관,부산광역시 남구,"부산광역시 남구 용호로 34, (용호동, 일신프리빌리지)글로벌어린이집"
글샘 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관2로 24, (정관신도시 휴먼시아2단지)커뮤니티센터 내(207동 옆)"
금강3차작은도서관,부산광역시 강서구,"부산광역시 강서구 명지국제5로 110, (명지동, 금강펜테리움 센트럴파크 3차)금강펜테리움 센트럴파크 3차 아파트"
금샘마을도서관,부산광역시 금정구,"부산광역시 금정구 금강로 644-1, (남산동)3층"
금정 BOOK PARK,부산광역시 금정구,"부산광역시 금정구 중앙대로 1621, (부곡동)파크랜드 2층"
금정산 SK VIEW 북카페,부산광역시 금정구,"부산 금정구 장전동713(장전동, 금정산SK VIEW아파트)"
금정온천천 작은도서관,부산광역시 금정구,"부산광역시 금정구 장전온천천로 144, (장전동)금정온천천 작은도서관"
길천마을 작은도서관,부산광역시 기장군,"부산광역시 기장군 장안읍 길천1길 37, 2층"
까치마을작은도서관,부산광역시 사하구,"부산광역시 사하구 까치고개로 50-10, (괴정동)실버힐링센터 1층"
깔깔도서관,부산광역시 수영구,"부산광역시 수영구 수영로679번길 19, (광안동)광안3동 1075-13"
꽃마을 작은도서관,부산광역시 서구,"부산광역시 서구 꽃마을로163번길 7, (서대신동3가)2층"
꽃마을작은도서관,부산광역시 해운대구,"부산광역시 해운대구 재반로282번길 112, (반여동, 현대아파트)현대아파트상가 2층"
꿈&희망작은도서관,부산광역시 해운대구,"부산광역시 해운대구 반송로 895-1, (반송동)새누리교회"
꿈그린 작은도서관,부산광역시 기장군,"부산광역시 기장군 기장읍 차성동로182번길 8, 2층"
꿈꾸는 도서관,부산광역시 동래구,"부산광역시 동래구 안연로109번길 25, (안락동)부산침례교회 3층"
꿈꾸는 작은도서관 깨끔발,부산광역시 부산진구,"부산광역시 부산진구 성지로 98-1, (초읍동)3층"
꿈꾸는작은도서관,부산광역시 사하구,"부산광역시 사하구 하신중앙로 185, (신평동)5층 꿈꾸는작은도서관"
꿈나래작은도서관,부산광역시 사상구,"부산광역시 사상구 백양대로 527, (주례동)2층"
꿈드림 작은도서관,부산광역시 금정구,부산광역시 금정구 수림로 6(에스케이아파트)관리사무소 2층
꿈마루작은도서관,부산광역시 강서구,"부산광역시 강서구 공항진입로42번길 20, (대저2동)공군 제 5공중기동비행단"
꿈사랑 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관4로 24, (정관동일스위트1차)관리동 so"
꿈샘작은도서관,부산광역시 남구,"부산광역시 남구 유엔로 1-1, (우암동, 동일아파트)상가동 203호"
꿈을담은 가화더테라스 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 구연방곡로 120, (정관 가화만사성 더 테라스 1차)주민공동시설 2층"
꿈의도서관,부산광역시 동구,"부산광역시 동구 홍곡남로18번길 26, (수정동)태광교회"
꿈이 자라는 작은도서관,부산광역시 남구,"부산광역시 남구 수영로219번길 59, (대연동)　교육관2층"
꿈자람 작은도서관,부산광역시 수영구,부산 수영구 광안동장대골로 56 남부 주영교회
나드림작은도서관,부산광역시 부산진구,"부산광역시 부산진구 진남로356번길 66-6, (전포동)"
나우작은도서관,부산광역시 해운대구,"부산광역시 해운대구 양운로 98, (좌동)405호"
남산정 작은도서관,부산광역시 북구,"부산광역시 북구 만덕대로155번길 86-9, (덕천동, 덕천2지구도개공아파트)bmc아파트 116동 앞 남산정종합사회복지관 2층"
남일이네작은도서관,부산광역시 서구,"부산광역시 서구 천마로 176, (남부민동)주민복합커뮤니센터 5층"
남천천신협작은도서관,부산광역시 수영구,부산광역시 수영구 남천동로 17(신용협동조합)지상5층
남항작은도서관,부산광역시 영도구,부산 영도구 남항동절영로 71
낫개작은도서관,부산광역시 사하구,"부산광역시 사하구 다대로429번길 22, (다대동)낫개작은도서관"
내리휴먼시아 작은도서관,부산광역시 기장군,"부산광역시 기장군 기장읍 소정안길 68, (내리휴먼시아)관리동내"
노을나루길작은도서관,부산광역시 사하구,부산광역시 사하구 하신번영로 377(하단2동주민센터)하단2동
뉴라이프작은도서관,부산광역시 해운대구,"부산 해운대구 좌동대천로103번길9, 대림2차상가 304호"
늘푸른 도서관,부산광역시 수영구,부산 수영구 광안동장대골로 20-5 홀트수영종합사회복지관 3층
늘푸른도서관,부산광역시 북구,"부산광역시 북구 효열로 144, (금곡동)금곡종합사회복지관 2층"
다니엘작은도서관,부산광역시 연제구,"부산광역시 연제구 과정로278번길 25, (연산동)3층"
다문화 도서관,부산광역시 사상구,"부산광역시 사상구 사상로 448, (모라동)부산은행 3층"
다문화 어린이 도서관&#39;모두&#39;,부산광역시 영도구,"부산광역시 영도구 상리로 30, (동삼동)동삼종합사회복지관"
다예작은도서관,부산광역시 해운대구,"부산광역시 해운대구 재반로242번길 42, (반여동)1층"
다원문고,부산광역시 연제구,"부산광역시 연제구 쌍미천로 61, (연산동)(연산동)1층"
닥밭골 작은 도서관,부산광역시 서구,"부산광역시 서구 보동길275번길 9, (동대신동2가)동대신2동주민센터 2층"
달산누리 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 산단4로 139, (정관 동원로얄듀크1차)관리동 2층(108동)"
담쟁이 작은도서관,부산광역시 영도구,"부산광역시 영도구 대교로6번길 5, (봉래동3가)봉래1동주민센터 2층"
당감1동작은도서관,부산광역시 부산진구,"부산광역시 부산진구 동평로44번길 49-6, (당감동)당감1동주민센터 별관1동"
당감2동새마을문고,부산광역시 부산진구,"부산광역시 부산진구 마철로 65, (당감동)1층"
당감뜨란채작은도서관,부산광역시 부산진구,"부산광역시 부산진구 백양산로 57, (부암동, 당감뜨란채아파트)404동 2층"
당리작은도서관,부산광역시 사하구,부산광역시 사하구 승학로 2025
당리푸르지오 푸른나무도서관,부산광역시 사하구,부산광역시 사하구 승학로71번길 30(당리푸르지오아파트)당리푸르지오아파트
대동골문화센터작은도서관,부산광역시 남구,"부산광역시 남구 황령대로319번가길 147, (대연동)대동골문화센터"
대룡 상상 작은도서관,부산광역시 기장군,"부산광역시 기장군 장안읍 대룡1길 17, 대룡마을회관"
대방2차Book적Book적작은도서관,부산광역시 강서구,"부산광역시 강서구 명지국제5로 11, (명지동, 명지 대방노블랜드 오션뷰2차)커뮤니티센터"
대신푸르지오 푸른도서관,부산광역시 서구,"부산광역시 서구 대영로38번길 11, (서대신동1가, 대신 푸르지오)대신푸르지오 푸른도서관"
대우도서실,부산광역시 금정구,"부산광역시 금정구 부산대학로 10, (부곡동, 대우아파트)관리사무소동 1층, 대우도서실"
대천 작은도서관,부산광역시 남구,"부산광역시 남구 유엔평화로47번길 125, (대연동)대천유치원 내"
대한실버회 작은도서관,부산광역시 남구,"부산광역시 남구 유엔평화로 152-2, (용당동, 용당한신문화타운)상가동 207호"
더나눔작은도서관,부산광역시 동구,"부산광역시 동구 영초윗길 48, (초량동)더나눔"
더샵 파크시티 작은도서관,부산광역시 연제구,"부산광역시 연제구 안연로 33, (연산동, 더샵 파크시티)연산동, 더샵파크시티"
더에듀팰리스부영작은도서관,부산광역시 강서구,"부산광역시 강서구 명지국제7로 110, (명지동, 더 에듀 팰리스 부영)더에듀팰리스부영아파트"
도란도란작은도서관,부산광역시 강서구,"부산광역시 강서구 명지국제5로 165, (명지동, 스위트팰리스)명지 스위트팰리스 지하1층"
도래샘 작은도서관,부산광역시 영도구,"부산광역시 영도구 중복길 458, (신선동1가)신선행복센터"
도시정원도서관,부산광역시 부산진구,"부산광역시 부산진구 양지로 19, (양정동)2층"
동래나래꿈도서관,부산광역시 동래구,"부산광역시 동래구 시실로 129, (명장동)동래안전드림센터 3층"
동매누리 작은도서관,부산광역시 사하구,부산광역시 사하구 다대로130번길 112신평동
동서남-BOOK 작은도서관,부산광역시 서구,"부산광역시 서구 해돋이로 288, (부민동3가)"
동일도서관,부산광역시 영도구,"부산광역시 영도구 함지로 17(반도보라비치타운아파트)반도보라A상가 402, 405호"
동일스위트3차 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 모전1길 9, (정관동일스위트3차)작은도서관"
동항작은도서관,부산광역시 남구,"부산광역시 남구 우암로75번길 7, (감만동)(감만동, 동항교회)"
동행작은도서관,부산광역시 강서구,"부산광역시 강서구 명지국제6로 288, (명지동)동행교회 1층"
두산위브더테라스 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 산단6로 33-8, (두산위브더테라스)주민공동시설 2층"
두산위브작은도서관,부산광역시 해운대구,"부산광역시 해운대구 해운대해변로 349-25, (중동, 해운대중동두산위브아파트)두산위브아파트"
두송작은도서관,부산광역시 사하구,"부산광역시 사하구 다대로429번길 30, (다대동)다대2동 행정복지센터"
드림작은도서관,부산광역시 북구,"부산광역시 북구 금곡대로221번길 5, (화명동)형제빌딩 4층"
드림작은도서관,부산광역시 동구,"부산광역시 동구 홍곡남로 13-3, (수정동)401호"
들꽃이야기 작은도서관,부산광역시 남구,"부산광역시 남구 수영로219번길 33, (대연동)대연동"
디딤돌작은도서관,부산광역시 수영구,"부산 수영구 민락동광안해변로 418(민락동, 센텀비치푸르지오)"
래미안해운대작은도서관,부산광역시 해운대구,"부산광역시 해운대구 좌동순환로 402, (중동, 래미안해운대)래미안해운대작은도서관"
레미안 장전,부산광역시 금정구,"부산광역시 금정구 금정로 20, (장전동, 래미안장전)생활지원센터 1층"
로고스 마을 도서관,부산광역시 남구,"부산광역시 남구 수영로 295, (대연동)세웅빌딩 8층"
로뎀나무 아래 작은 도서관,부산광역시 남구,부산 남구 문현1동고동골로 97번길 87(문현동) 샘솟는교회
롯데캐슬2차 북돋음터 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관3로 51, (정관롯데캐슬2차)정관롯데캐슬센터 내(지하주차장 215동)"
르네상스 작은도서관,부산광역시 수영구,부산 수영구 수영동수영로741번길 46 협성르네상스타운
리빙스턴 작은도서관,부산광역시 영도구,"부산광역시 영도구 남항로10번길 15, (남항동2가)리빙스턴 작은도서관"
리슈빌 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관로 513, (정관신도시 계룡리슈빌)컨트롤센터 2층"
링컨타운책벌레작은도서관,부산광역시 강서구,"부산광역시 강서구 명지오션시티10로 16, (명지동, 영어도시 퀸덤1차)림컨책벌레도서관"
마하골 길벗 작은도서관,부산광역시 사하구,부산광역시 사하구 승학로161번길 80괴정동
만나 놀이터 작은 도서관,부산광역시 수영구,"부산광역시 수영구 망미배산로24번길 54, (망미동)1층"
만디도서관(구장산푸른초장),부산광역시 해운대구,"부산광역시 해운대구 해운대로61번길 105, (반여동)지하1층"
머드레작은도서관,부산광역시 금정구,부산광역시 금정구 범어천로52번길 25-3(남산동)
명륜도서관,부산광역시 동래구,"부산광역시 동래구 명륜로 210, (명륜동)명륜로 210(명륜동 172-24), 3층"
명륜동 새마을문고,부산광역시 동래구,부산광역시 동래구 명륜로207번길 26(명륜동주민센터)명륜동주민센터
명륜아이파크 작은도서관,부산광역시 동래구,"부산광역시 동래구 명륜로 170, (명륜동, 명륜아이파크1단지)커뮤니티실"
명지2차금강작은도서관,부산광역시 강서구,"부산광역시 강서구 명지국제5로 109, (명지동, 명지2차 금강펜테리움 센트럴파크)명지2차금강작은도서관"
명지두산작은도서관,부산광역시 강서구,"부산광역시 강서구 명지오션시티11로 22, (명지동, 명지 두산위브 포세이돈)명지두산작은도서관"
명지한신휴플러스작은도서관,부산광역시 강서구,"부산광역시 강서구 명지오션시티1로 155, (명지동, 한신 휴플러스)명지한신휴플러스작은도서관"
모라1동 작은도서관,부산광역시 사상구,"부산광역시 사상구 모라로 93, (모라동)모라1동행정복지센터"
모모작은도서관,부산광역시 사하구,부산광역시 사하구 하신번영로 135신평빌딩 501호
무양마을 작은도서관,부산광역시 기장군,"부산광역시 기장군 기장읍 무양2길 33, 무양마을회관 1층"
문현마을문고,부산광역시 남구,"부산광역시 남구 수영로39번길 35, (문현동)"
미리내 작은도서관,부산광역시 해운대구,부산 해운대구 반송동아랫반송로21번길 94-9
미리내작은도서관,부산광역시 금정구,부산광역시 금정구 금강로347번길 32(미리내행복센터)(장전동)
민들레가있는작은도서관,부산광역시 부산진구,"부산광역시 부산진구 서전로68번길 29-5, (전포동)지1층, 1층 101호, 2층 201호"
민들레작은도서관,부산광역시 부산진구,"부산광역시 부산진구 전포대로256번길 7, (전포동)SM빌딩 4층"
민들레작은도서관,부산광역시 중구,부산광역시 중구 흑교로75번길 11-1(성광교회)성광교회
민락작은도서관,부산광역시 수영구,"부산광역시 수영구 광안해변로295번길 20, (민락동)민락동"
바람길작은도서관,부산광역시 수영구,부산광역시 수영구 연수로 3854
바퀴달린 그림책 작은도서관,부산광역시 해운대구,"부산광역시 해운대구 세실로 31, (좌동)504호"
바퀴달린 그림책 작은도서관,부산광역시 연제구,"부산광역시 연제구 미남로 20, (거제동)2층(거제동)"
반송1동새마을작은도서관,부산광역시 해운대구,"부산광역시 해운대구 아랫반송로 16, (반송동)"
반송2동새마을작은도서관(나눔작은도서관),부산광역시 해운대구,부산 해운대구 반송동신반송로173 반송2동주민센터
반송문고,부산광역시 해운대구,"부산광역시 해운대구 윗반송로51번길 48-13, (반송동)반송지역아동센터"
반송온누리교회작은도서관,부산광역시 해운대구,부산광역시 해운대구 신반송로 80(엘아이지건영아파트)상가 101호
반여 꿈꾸는 어린이 도서관,부산광역시 해운대구,"부산광역시 해운대구 선수촌로21번길 21, (반여동)그린상가 2층 52호"
반여1동새마을작은도서관,부산광역시 해운대구,"부산광역시 해운대구 선수촌로 99-7, (반여동)"
반여2동새마을작은도서관,부산광역시 해운대구,"부산광역시 해운대구 재반로211번길 9, (반여동)2층"
반여3동새마을작은도서관,부산광역시 해운대구,"부산 해운대구 반여동재반로 256번길 29-70, 2층"
반여4동새마을작은도서관,부산광역시 해운대구,부산 해운대구 반여동삼어로 133번길 50
배산작은도서관,부산광역시 연제구,부산 연제구 연산6동배산북로 8(연산동)
백양산동문굿모닝힐아파트 2단지 작은도서관,부산광역시 북구,"부산광역시 북구 덕천로276번길 60, (만덕동, 백양산동문굿모닝힐)2단지 1층"
백합꽃피는작은도서관,부산광역시 북구,"부산광역시 북구 용당로20번길 15, (화명동)백합꽃피는작은도서관"
범일크로버 도서관,부산광역시 동구,"부산광역시 동구 범곡로33번길 40, (범일동)범일지역아동센터"
범천작은도서관,부산광역시 부산진구,"부산광역시 부산진구 신암로 48, (범천동)범천2동주민센터( 2층)"
법륜지혜 작은도서관,부산광역시 동래구,"부산광역시 동래구 동래로 160, (칠산동)법륜유치원 1층"
보수동책방골목어린이도서관,부산광역시 중구,"부산광역시 중구 대청로 57-16, (보수동1가)보수동책방골목 어린이도서관"
복산동 새마을문고,부산광역시 동래구,"부산광역시 동래구 복천로 1, (복천동)3층"
부곡1동 작은도서관,부산광역시 금정구,"부산광역시 금정구 동부곡로6번길 29, (부곡동)부곡1동 주민센터"
부곡4동작은도서관,부산광역시 금정구,"부산광역시 금정구 부곡로18번안길 37, (부곡동)1층 부곡4동주민센터"
부민작은도서관,부산광역시 서구,"부산광역시 서구 해돋이로 313, (부민동3가, 부민 이 편한세상)부민 이편한세상아파트"
부산광역시 여성문화회관 도서정보자료실,부산광역시 사상구,"부산광역시 사상구 학감대로 95, (학장동)1층"
부산기독교 종합사회복지관 강유두작은도서관,부산광역시 서구,"부산광역시 서구 까치고개로229번길 40, (토성동2가)2층"
부산대학교병원 작은(쌈지)도서관,부산광역시 서구,"부산광역시 서구 구덕로 179, (아미동1가)B동 1층"
부산문현교회 작은도서관,부산광역시 남구,"부산광역시 남구 고동골로 23, (문현동)부산문현교회 204호"
부산시여성회관 작은도서관,부산광역시 남구,부산 남구 대연3동수영로 356
부산연탄은행 마르지 않는 샘,부산광역시 서구,"부산광역시 서구 구덕로157번길 33-1, (아미동2가)1층"
부산의료원 작은도서관,부산광역시 연제구,"부산광역시 연제구 월드컵대로 359, (거제동)작은도서관"
북라이크 작은도서관,부산광역시 기장군,"부산광역시 기장군 기장읍 차성로390번길 23, 2층"
북라이크스토리작은도서관,부산광역시 북구,"부산광역시 북구 덕천로 135, (덕천동)3층"
북앤쉼 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 모전1길 52-1, 주향교회 2층"
북조아 작은 도서관,부산광역시 남구,"부산광역시 남구 동제당로 258, (우암동)남구 종합사회복지관 1동 2층"
브니엘 학습관 문고,부산광역시 남구,"부산광역시 남구 천제등로28번길 50, (대연동, 대연동 현대아파트)현대아파트 상가 3층"
비발디작은도서관,부산광역시 부산진구,"부산광역시 부산진구 전포대로 156, (전포동, 한라비발디)101동 1층"
비전도서관,부산광역시 부산진구,"부산광역시 부산진구 백양대로136번길 37-9, (당감동)당평교회 2층"
사랑나눔 작은도서관,부산광역시 사하구,"부산광역시 사하구 괴정로270번길 34, (괴정동, 협진아파트)상가 지하층"
사랑방마실,부산광역시 부산진구,"부산광역시 부산진구 당감서로100번길 100, (당감동)"
사랑의샘 작은도서관,부산광역시 동래구,"부산광역시 동래구 쇠미로221번길 3, (온천동)2층"
사랑진도서관(구달맞이도서관),부산광역시 해운대구,"부산광역시 해운대구 세실로 45, (좌동)10층일부"
사상 작은도서관,부산광역시 사상구,"부산광역시 사상구 새벽로168번길 61, (감전동)사상평생학습관"
사직1동 새마을문고,부산광역시 동래구,"부산광역시 동래구 석사로 19, (사직동)사직1동 주민센터 1층"
사직2동 새마을문고,부산광역시 동래구,"부산광역시 동래구 사직북로63번길 22, (사직동)2층"
사직3동 새마을문고,부산광역시 동래구,"부산광역시 동래구 아시아드대로154번길 79, (사직동)사직3동 행정복지센터 1층"
사하마을문고,부산광역시 사하구,부산 사하구 당리동승학로 123
산리작은도서관,부산광역시 중구,"부산광역시 중구 영주로 21, (영주동)-"
산성교회문고,부산광역시 남구,"부산광역시 남구 유엔로137번길 9, (대연동)대한예수교장로회산성교회"
상학작은도서관,부산광역시 북구,"부산광역시 북구 상학산복길 215, (만덕동)2층 상학도서관"
새마을문고 기장읍,부산광역시 기장군,"부산광역시 기장군 기장읍 차성동로5번길 10, 기장읍사무소 내"
새마을문고 일광면,부산광역시 기장군,"부산광역시 기장군 일광면 일광로 77-7, 일광면사무소 내"
새마을문고 장안읍,부산광역시 기장군,"부산광역시 기장군 장안읍 좌방길 5, 장안읍사무소 내"
새마을문고 정관읍,부산광역시 기장군,"부산광역시 기장군 정관읍 용수로 4, 정관읍사무소 내"
새마을문고 철마면,부산광역시 기장군,"부산광역시 기장군 철마면 철마로 485, 철마면사무소 내"
새사랑 작은 도서관,부산광역시 사하구,"부산광역시 사하구 사하로 151-1, (괴정동)3층"
샘물 작은도서관,부산광역시 사상구,"부산광역시 사상구 엄궁북로4번길 32-10, (엄궁동)샘물 지역아동센터"
샘터꿈의도서관,부산광역시 남구,"부산광역시 남구 조각공원로27번길 12, (대연동)샘터교회 2층"
샘터작은도서관,부산광역시 남구,"부산광역시 남구 수영로 205-12, (대연동)"
샤롯데 작은도서관,부산광역시 서구,"부산광역시 서구 대티로 161, (서대신동3가, 대신롯데캐슬)관리동 2층"
서구문화원작은도서관,부산광역시 서구,"부산광역시 서구 까치고개로197번길 46, (아미동2가)부산서구문화원 작은도서관"
서동예술작은도서관,부산광역시 금정구,"부산광역시 금정구 서동로149번길 8, (서동)1층"
서면DS협성엘리시안아파트작은도서관,부산광역시 부산진구,"부산광역시 부산진구 만리산로 11, (범천동)서면DS협성엘리시안아파트"
서연관 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 정관3로 52, (정관신도시 롯데캐슬)관리동 내(지하주차장 105-112동 사이)"
서희스타힐스 작은도서관,부산광역시 기장군,"부산광역시 기장군 정관읍 방곡3로 11, (서희스타힐스)아파트복지동 내(305동 맞은편)"
선두구동 작은도서관,부산광역시 금정구,"부산광역시 금정구 두구죽전1길 13, (두구동)두구동 주민센터"
센터럴파크 작은도서관,부산광역시 동래구,"부산광역시 동래구 문화로 33, (명륜동, 동래센트럴파크하이츠2차)206동 지하1층"
센텀e편한세상아파트문고,부산광역시 해운대구,"부산광역시 해운대구 해운대로76번길 55, (재송동, 센텀이편한세상아파트)센텀이편한세상아파트"
센텀롯데캐슬2차작은도서관,부산광역시 해운대구,"부산광역시 해운대구 반여로 68-12, (반여동, 센텀롯데캐슬2차아파트)센텀롯데캐슬2차아파트"
