도서관명,행정구역,주소
THE BRIDGE 작은도서관,서울특별시 송파구,"서울특별시 송파구 동남로24길 11, (오금동)2층"
U+ Library,서울특별시 용산구,"서울특별시 용산구 한강대로 32, (한강로3가)1층"
cms영어 작은도서관,서울특별시 강북구,"서울특별시 강북구 삼양로74길 70, (미아동)2층"
sk북카페 꿈땅,서울특별시 동대문구,서울특별시 동대문구 사가정로 148(SK아파트)sk아파트 내
sunplay작은도서관,서울특별시 송파구,"서울특별시 송파구 백제고분로27길 9, (삼전동)2층"
가락2동새마을문고(로즈마리 작은도서관),서울특별시 송파구,서울특별시 송파구 중대로20길 6(가락2동주민센터)1층
가락본동새마을문고(글향기작은도서관),서울특별시 송파구,서울특별시 송파구 송파대로28길 39(가락본동주민센터)동주민센터 1층
가람슬기작은도서관,서울특별시 강동구,"서울특별시 강동구 강동대로53길 76, (성내동)성내3동주민센터 1층"
가람작은도서관,서울특별시 강서구,"서울특별시 강서구 양천로57길 36, (가양동, 가양5단지아파트)가양5종합사회복지관"
가리봉동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 디지털로19길 22, (가리봉동)1층 가리봉동새마을작은도서관"
가양 9-1단지 작은도서관,서울특별시 강서구,"서울특별시 강서구 허준로 224, (가양동, 가양9단지아파트)관리동 2층"
가온작은도서관,서울특별시 노원구,서울특별시 노원구 노원로 530(상계10동주민센터)상계10동주민센터
가재울지혜마루,서울특별시 노원구,"서울특별시 노원구 한글비석로 97, (하계동)에너지제로주택단지 가재울지혜마루"
가좌행복작은도서관,서울특별시 마포구,"서울특별시 마포구 성암로 28, (성산동, 가좌행복주택)가좌행행복작은도서관"
갈현1동 고리마루작은도서관,서울특별시 은평구,서울특별시 은평구 갈현로 301(갈현1동청사및문화의집)갈현1동 주민센터
강남데시앙파크작은도서관,서울특별시 강동구,"서울특별시 강동구 고덕로97길 29, (강일동, 강일리버파크9단지)관리사무소 2층"
강남신동아파밀리에1단지도서관,서울특별시 강남구,"서울특별시 강남구 헌릉로590길 100, (세곡동, 강남신동아파밀리에1단지)관리동 2층"
강남한양수자인작은씨앗도서관,서울특별시 강남구,"서울특별시 강남구 자곡로 260, (자곡동, 강남한양수자인아파트)작은씨앗도서관"
강동육아누리도서관,서울특별시 강동구,서울특별시 강동구 상암로 168(강동구민회관)2층
강북새희망도서관,서울특별시 강북구,"서울특별시 강북구 삼양로91가길 2, (수유동)2층"
강서성결어린이도서관,서울특별시 양천구,서울 양천구 신월1동월정로 19길 11
강서제일어린이문고,서울특별시 양천구,서울 양천구 신월5동화곡로 10길 19
강일리버파크11단지 행복책방SH작은도서관,서울특별시 강동구,"서울특별시 강동구 고덕로97길 100, (강일동, 강일리버파크11단지)1104동 1층"
강일리버파크6단지 책향기문고,서울특별시 강동구,"서울특별시 강동구 아리수로94길 19, (강일동, 강일리버파크6단지아파트)관리사무소 2층"
개봉2동  새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 개봉로16가길 17, (개봉동)개봉2동 주민센터"
개봉3동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 개봉로1가길 28, (개봉동)2층"
개포4동 작은도서관,서울특별시 강남구,"서울특별시 강남구 개포로38길 12, (개포동)개포4동 주민센터"
거여1동새마을문고,서울특별시 송파구,서울특별시 송파구 오금로53길 32(거여1동주민센터)동주민센터 3층
거여2동 새마을문고(거여2동작은도서관),서울특별시 송파구,서울특별시 송파구 거마로2길 19(거여2동주민센터)2층
게냇골 작은도서관,서울특별시 강동구,"서울특별시 강동구 구천면로 633, (상일동)2층"
겨자씨 작은도서관,서울특별시 강북구,"서울특별시 강북구 삼양로27길 35, (미아동)삼양제일교회"
겸재 작은도서관,서울특별시 중랑구,"서울특별시 중랑구 중랑천로 4, (면목동)맞은편, 중랑천 뚝방길 면목동 1031-22"
경희궁자이3단지 작은도서관,서울특별시 종로구,"서울특별시 종로구 경교장길 35, (평동, 경희궁자이 3단지)경희궁자이3단지 작은도서관"
고덕리엔파크3단지 SH 작은도서관,서울특별시 강동구,서울특별시 강동구 상일로 74(고덕리엔파크3단지아파트)315동 1층
고래이야기,서울특별시 용산구,서울특별시 용산구 효창원로 157(효창맨숀아파트)효창맨숀아파트
고맙습니다 신정3동작은도서관,서울특별시 양천구,서울 양천구 신정3동중앙로 209
고맙습니다 지혜의 등대 작은도서관,서울특별시 도봉구,"서울특별시 도봉구 도봉로 552, (창동)도봉구민회관 4층"
고맙습니다 하난곡 작은도서관,서울특별시 관악구,"서울특별시 관악구 난우10가길 20-7, (신림동)2, 3층"
고운달작은도서관((구 신월1동 도서방)),서울특별시 양천구,서울 양천구 신월1동곰달래로 1길 38
고운맘작은도서관(구 신월2동 도서방),서울특별시 양천구,서울 양천구 신월2동중앙로53길47
고척1동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 중앙로3길 18-8, (고척동)고척1동 주민센터"
고척2동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 중앙로15길 22, (고척동)고척2동 주민센터"
고척교회도서관 책마을,서울특별시 구로구,서울특별시 구로구 중앙로 79(고척교회)고척교회도서관책마을
고척벽산블루밍(아) 경로당 작은도서관,서울특별시 구로구,"서울특별시 구로구 경인로 390, (고척동, 벽산블루밍아파트)경로당"
곰세마리 작은도서관,서울특별시 성북구,"서울특별시 성북구 삼선교로 54, (삼선동3가)본교회"
공덕동문고(마실길 북카페),서울특별시 마포구,서울특별시 마포구 만리재옛길 84(공덕동주민센터)
공룡어린이도서관,서울특별시 강서구,서울특별시 강서구 까치산로 144공룡어린이도서관
광석 어린이 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 왕산로26길 49, (용두동)1층"
광장동 새마을작은도서관,서울특별시 광진구,서울특별시 광진구 광장로 52(광장동주민센터)2층
광장현대파크빌도서관,서울특별시 광진구,서울특별시 광진구 아차산로 549(현대파크빌아파트)아파트관리사무소 1층
광희동 작은도서관,서울특별시 중구,"서울특별시 중구 퇴계로 303-9, (광희동1가)주민센터 2층"
구로1동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 구일로4길 57, (구로동)구로1동주민센터 2층"
구로2동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 구로동로50길 10, (구로동)구로2동 자치회관"
구로4동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 구로동로28길 94, (구로동)구로4동 주민센터"
구로5동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 구로중앙로28길 66, (구로동)구로5동주민센터 2층, 구로보건소"
구로구 근로자복지센터 작은도서관,서울특별시 구로구,"서울특별시 구로구 디지털로 242, (구로동)213호"
구의1동 새마을작은도서관,서울특별시 광진구,서울특별시 광진구 광나루로36길 56(구의제1동주민센터)2층
구의2동 새마을작은도서관,서울특별시 광진구,서울특별시 광진구 천호대로136길 55(구의제2동주민센터)2층
국사봉숲속작은도서관,서울특별시 동작구,"서울특별시 동작구 양녕로23길 27, (상도동)국사봉숲속작은도서관"
국제문학작은도서관,서울특별시 광진구,"서울특별시 광진구 광나루로15길 41, (군자동)1층 101호,102호"
군자동 새마을작은도서관,서울특별시 광진구,서울특별시 광진구 군자로 151(군자동주민센터)3층
그래그래 작은도서관,서울특별시 구로구,"서울특별시 구로구 구일로8길 131, (구로동)중산빌딩 지하1층"
그루터기(신정이펜하우스2단지),서울특별시 양천구,서울 양천구 신정3동신정이펜2로 55 신정이펜하우스 2단지
그루터기작은도서관,서울특별시 은평구,"서울특별시 은평구 은평로10길 17, (응암동)2층"
그림숲그림책(청룡)작은도서관,서울특별시 관악구,"서울특별시 관악구 청룡9길 12-39, (봉천동)"
글고운 작은도서관,서울특별시 강동구,"서울특별시 강동구 성내로 13, (성내동)성내1동 주민센터 1층"
글고운SH작은도서관,서울특별시 강서구,"서울특별시 강서구 공항대로 124, (마곡동, 마곡엠밸리11단지)1102동 1층"
글놀이작은도서관,서울특별시 동대문구,"서울특별시 동대문구 약령시로 67, (제기동)2층"
글마루 작은도서관,서울특별시 강동구,"서울특별시 강동구 아리수로78길 43-12, (고덕동)고덕2동주민센터 2층"
글마루SH작은도서관,서울특별시 강서구,"서울특별시 강서구 마곡서1로 146, (마곡동, 마곡엠밸리2단지)글마루SH작은도서관"
글바라기(신정이펜하우스1단지),서울특별시 양천구,서울 양천구 신정3동신정이펜1로 51 신정이펜하우스 1단지
글벗SH작은도서관,서울특별시 송파구,"서울특별시 송파구 위례순환로 477, (장지동, 위례포레샤인23단지)2302동 1층"
글벗누리 작은도서관,서울특별시 강서구,"서울특별시 강서구 방화대로 330, (마곡동)2층"
글빛누리작은도서관,서울특별시 성북구,"서울특별시 성북구 삼선교로16길 35, (삼선동3가, 삼선 SK VIEW 아파트)삼선SK뷰(아) 105동"
글익는 작은도서관,서울특별시 강동구,"서울특별시 강동구 고덕로 137, (암사동)암사3동주민센터 3층"
글초롱작은도서관,서울특별시 구로구,서울특별시 구로구 오리로 1102-10(천왕연지타운2단지)관리동 작은도서관
글향기작은도서관,서울특별시 강동구,"서울특별시 강동구 구천면로42길 59, (천호동)천호1동주민센터 2층"
금강수목원아파트 작은 도서관,서울특별시 구로구,"서울특별시 구로구 오리로 1197, (오류동, 금강수목원아파트)금강수목원아파트, 관리사무소 건물 2층"
금빛도서관,서울특별시 노원구,서울특별시 노원구 상계로26길 20(대동청솔아파트)대동아파트 상가3층
금호1가동 북카페 책단지꿀단지,서울특별시 성동구,"서울특별시 성동구 행당로 15, (금호동1가)책단지꿀단지 1층"
금호2.3가동 어린이작은도서관,서울특별시 성동구,"서울특별시 성동구 무수막18길 1, (금호동2가)금호2,3가동주민센터 2층"
금호4가동 어린이작은도서관,서울특별시 성동구,"서울특별시 성동구 독서당로46길 26, (금호동4가)3층"
기쁨을나누는작은도서관,서울특별시 양천구,서울특별시 양천구 월정로 62(상아아름아파트)B101
기쁨이 자라는 작은도서관,서울특별시 성북구,"서울특별시 성북구 종암로9길 25, (종암동)상가 202호"
길빛,서울특별시 금천구,"서울특별시 금천구 독산로 16, (시흥동)길빛 작은도서관"
길숲도서관,서울특별시 구로구,"서울특별시 구로구 신도림로3길 19, (신도림동)새서울교회"
길음 동부센트레빌 어린이글마당,서울특별시 성북구,서울특별시 성북구 숭인로2길 61(길음동동부센트레빌아파트)관리동 1층
길음1동 새마을문고,서울특별시 성북구,"서울특별시 성북구 길음로 92, (길음동)길음1동 주민센터 3층"
길음2동 새마을문고,서울특별시 성북구,"서울특별시 성북구 삼양로2길 70, (길음동)"
길음뉴타운 푸르지오 도서관,서울특별시 성북구,서울특별시 성북구 길음로 119(길음뉴타운)1280번지 대우아파트 211동 앞
길음동 작은도서관,서울특별시 성북구,"서울특별시 성북구 길음로15길 23, (길음동)새생명교회 B1층"
김수영문학도서관,서울특별시 도봉구,"서울특별시 도봉구 해등로32길 80, (방학동)김수영문학관3층"
까망돌어린이도서관,서울특별시 동작구,"서울특별시 동작구 흑석한강로 13, (흑석동)서울남부교회"
깐 작은도서관,서울특별시 양천구,"서울특별시 양천구 지양로7길 27, (신월동)-"
꽃가람 작은도서관,서울특별시 중랑구,"서울특별시 중랑구 망우로32길 38, (면목동)2층"
꿀단지작은도서관,서울특별시 강서구,"서울특별시 강서구 마곡서1로 132, (마곡동, 마곡엠밸리3단지)상가동 2층"
꿈 익는 작은도서관,서울특별시 서초구,"서울특별시 서초구 남부순환로 2271-5, (방배동)소비코빌딩 B2F"
꿈꾸는 도서관,서울특별시 중랑구,서울특별시 중랑구 신내로19길 42(신내6단지신내아파트)꿈꾸는 도서관
꿈꾸는 도서관,서울특별시 양천구,"서울특별시 양천구 신월로24길 19, (신월동)신월종합사회복지관 4층 꿈꾸는 도서관"
꿈꾸는 작은도서관,서울특별시 중랑구,"서울특별시 중랑구 봉우재로 203-1, (망우동)3층"
꿈꾸는 작은도서관,서울특별시 강남구,"서울특별시 강남구 자곡로3길 21, (자곡동, LH강남힐스테이트)꿈꾸는 작은도서관"
꿈꾸는 작은도서관,서울특별시 송파구,서울특별시 송파구 동남로 280(성진빌딩)4층
꿈꾸는 작은도서관,서울특별시 은평구,서울특별시 은평구 진흥로1길 17지하 1층
꿈꾸는 작은도서관,서울특별시 금천구,"서울특별시 금천구 시흥대로12길 10-5, (시흥동)남부도로사업소 마을이음센터 2층"
꿈꾸는 책마을,서울특별시 용산구,서울특별시 용산구 장문로 95(보광동 주민센터)1층
꿈꾸는 평창동 작은도서관,서울특별시 종로구,"서울특별시 종로구 평창문화로 65, (평창동)평창동주민센터 2층 꿈꾸는평창동작은도서관"
꿈꾸는i작은도서관,서울특별시 은평구,서울특별시 은평구 진관3로 46(은평제일교회)은평제일교회
꿈꾸는언덕 작은도서관(천왕 1단지),서울특별시 구로구,"서울특별시 구로구 천왕로 91, (천왕동, 천왕이펜하우스1단지)천왕이펜하우스 1단지 104동 지하층 관리사무소 옆"
꿈꾸는작은도서관,서울특별시 노원구,서울특별시 노원구 석계로 59(월계1동주민센터)월계1동주민센터 2층
꿈나래 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 답십리로 296, (장안동)1층"
꿈나래어린이영어도서관,서울특별시 마포구,"서울특별시 마포구 월드컵로13길 80, (망원동)2층"
꿈나무 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 전농로4길 7, (답십리동)1층"
꿈나무영유아도서관,서울특별시 관악구,"서울특별시 관악구 신림로3길 35, (신림동)문화복합시설내 2층"
꿈누리작은도서관,서울특별시 강동구,"서울특별시 강동구 동남로83길 87, (고덕동)1층"
꿈담도서관,서울특별시 동작구,"서울특별시 동작구 성대로2길 9, (상도동)3층"
꿈담은작은도서관,서울특별시 은평구,"서울특별시 은평구 연서로41길 4, (불광동)꿈담은작은도서관"
꿈마루 도서관,서울특별시 동대문구,서울특별시 동대문구 이문로 55(동안교회 선교센터)
꿈마루 작은 도서관,서울특별시 은평구,"서울특별시 은평구 진흥로5길 19, (역촌동)역촌동교회"
꿈마루 작은도서관,서울특별시 구로구,"서울특별시 구로구 구로중앙로28다길 5, (구로동)대신교회 2층"
꿈밭 작은도서관,서울특별시 강남구,"서울특별시 강남구 자곡로 204-19, (자곡동)2층"
꿈빛도서관,서울특별시 마포구,"서울특별시 마포구 희우정로 109, (망원동)1층"
꿈빛작은도서관,서울특별시 강서구,"서울특별시 강서구 공항대로 140, (마곡동, 마곡엠밸리12단지)1203동 1층"
꿈사랑 도서관,서울특별시 동대문구,"서울특별시 동대문구 한천로37길 33, (답십리동, 래미안엘파인아파트)아파트내"
꿈샘 작은도서관,서울특별시 성동구,"서울특별시 성동구 매봉길 30, (옥수동)1층 꿈샘작은도서관"
꿈샘도서관,서울특별시 은평구,"서울특별시 은평구 응암로20길 24, (응암동)한성교회교육관 1층"
꿈씨어린이 작은도서관,서울특별시 금천구,"서울특별시 금천구 독산로 232, (독산동)독산4동주민센터 2층"
꿈을심는 작은도서관,서울특별시 도봉구,"서울특별시 도봉구 우이천로38라길 25-4, (쌍문동)꿈을 심는 작은도서관"
꿈을이루는작은도서관,서울특별시 마포구,서울특별시 마포구 마포대로7길 18(아현동주민센터)2층
꿈이익어가는 작은도서관,서울특별시 강북구,"서울특별시 강북구 삼양로 106-1, (미아동)1층"
꿈이있는 도서관,서울특별시 영등포구,서울특별시 영등포구 신풍로16길 1(남서울교회)
꿈이자라는땅 작은도서관,서울특별시 송파구,"서울특별시 송파구 마천로35길 19, (마천동)상원빌딩 2층"
꿈익는 책마을 어린이도서관,서울특별시 강북구,"서울특별시 강북구 삼양로47길 9, (미아동)2층"
꿈익는책마을,서울특별시 동작구,"서울특별시 동작구 상도로38길 24, (상도동)남현교회"
꿈자람책놀이터 작은도서관,서울특별시 강서구,서울특별시 강서구 개화동로21길 4(방화11단지아파트)방화11종합사회복지관
꿈지락작은도서관,서울특별시 은평구,서울특별시 은평구 진관1로 77-8(은평뉴타운폭포동아파트)401동 1층
꿈터 어린이도서관,서울특별시 성동구,"서울특별시 성동구 사근동9가길 23, (사근동)별관 2층"
꿈터 작은도서관,서울특별시 성북구,"서울특별시 성북구 정릉로36길 76-17, (정릉동)정릉교회 뒷편"
꿈터 작은도서관,서울특별시 강서구,"서울특별시 강서구 곰달래로 79, (화곡동)3층"
꿈터 작은도서관(천왕이펜 6단지),서울특별시 구로구,"서울특별시 구로구 천왕로 9, (천왕동, 천왕이펜하우스6단지)."
꿈틀도서관,서울특별시 성북구,서울특별시 성북구 종암로 214-6나눔의집 1층 꿈틀도서관
나누리 작은도서관,서울특별시 금천구,"서울특별시 금천구 금하로23길 40, (시흥동)301호"
나누리작은도서관,서울특별시 은평구,"서울특별시 은평구 진관1로 55, (진관동, 은평뉴타운 마고정)308동 지층"
나눔플러스 아름인도서관,서울특별시 도봉구,"서울특별시 도봉구 도봉로109길 40, (쌍문동)2층"
나들목가족도서관,서울특별시 동대문구,서울특별시 동대문구 안암로 6(대광고등학교)대광고 60주년 기념관 1층
나무그늘 작은도서관,서울특별시 강서구,"서울특별시 강서구 마곡서1로 100, (마곡동, 마곡엠밸리6단지)2층"
나무그늘(신정이펜하우스3단지),서울특별시 양천구,서울 양천구 신정3동신정이펜1로 50 신정이펜하우스 3단지
나무별작은도서관,서울특별시 동작구,"서울특별시 동작구 장승배기로 6, (상도동)지층"
나무와 열매 어린이 도서관,서울특별시 종로구,서울특별시 종로구 통일로 2662층 205호
낙성대공원 도서관,서울특별시 관악구,"서울특별시 관악구 낙성대로 77, (봉천동)낙성대길77"
낙성대동 우듬지 작은도서관,서울특별시 관악구,서울특별시 관악구 낙성대로4가길 5(낙성대동주민센터)4층
난곡동 책사랑 작은도서관,서울특별시 관악구,서울특별시 관악구 난곡로30길 40(난곡동주민센터)3층
난향동 뜰안에 작은도서관,서울특별시 관악구,서울특별시 관악구 난곡로 67(난향동주민센터)4층
날마다자라는나무,서울특별시 광진구,서울특별시 광진구 자양번영로4길 82층
날아라 작은도서관,서울특별시 서초구,"서울특별시 서초구 청계산로9길 1-12, (신원동, 서초포레스타6단지)작은도서관"
남가좌1동파랑새작은도서관,서울특별시 서대문구,"서울특별시 서대문구 모래내로15길 37, (남가좌동)2층"
남영동 작은도서관,서울특별시 용산구,서울특별시 용산구 두텁바위로1길 13.
남현동 우리 작은도서관,서울특별시 관악구,서울특별시 관악구 남현1가길 29(남현동복합청사)3층
내발산작은도서관,서울특별시 강서구,서울특별시 강서구 강서로52길 89(내발산동 문화센터)내발산문화센터 5층
너나울 도서관,서울특별시 서초구,"서울특별시 서초구 양재대로2길 90, (우면동, 서초힐스)206동 1층 관리동"
넓은들작은도서관,서울특별시 양천구,서울 양천구 신정3동(현장민원실)남부순환로 88길 5-7
네이처힐3단지작은도서관(꿈찾는도서관),서울특별시 서초구,"서울특별시 서초구 태봉로2길 60, (우면동, 서초네이처힐3단지)305동 1층"
네이처힐4단지작은도서관,서울특별시 서초구,"서울특별시 서초구 태봉로2길 65, (우면동, 서초네이처힐4단지)404동 1층"
네이처힐5단지작은도서관,서울특별시 서초구,"서울특별시 서초구 태봉로2길 5, (우면동, 서초네이처힐5단지)730) 서초네이처힐 508동 1층"
네이처힐6단지 작은도서관,서울특별시 서초구,"서울특별시 서초구 태봉로2길 30(서초네이처힐6단지)607동 3,4라인 1층"
네이처힐가든 작은도서관,서울특별시 서초구,서울특별시 서초구 형촌길 60(네이처힐 가든)네이처힐가든아파트
노량진1동작은도서관,서울특별시 동작구,"서울특별시 동작구 장승배기로28길 30, (노량진동)주민센터 3층"
노량진2동작은도서관,서울특별시 동작구,"서울특별시 동작구 장승배기로19길 48, (노량진동)노량진2동 주민센터 1층"
노원문화원작은도서관,서울특별시 노원구,"서울특별시 노원구 동일로197길 24, (공릉동)노원문화원 2층"
녹번만화도서관,서울특별시 은평구,"서울특별시 은평구 은평로 245, (녹번동)245 녹번만화도서관"
논현정보도서관,서울특별시 강남구,"서울특별시 강남구 학동로 169, (논현동)3층 논현정보도서관"
누리미좋은물결작은도서관,서울특별시 송파구,"서울특별시 송파구 성내천로 237, (마천동)2층"
늘솔길 작은도서관,서울특별시 강동구,"서울특별시 강동구 양재대로156길 123, (고덕동)고덕1동주민센터 5층"
늘푸른소나무작은도서관,서울특별시 마포구,서울특별시 마포구 백범로 227(공덕동자치회관)마포문화원 3층
늘품작은도서관,서울특별시 중랑구,"서울특별시 중랑구 신내로25길 40, (묵동)1층"
능동 새마을작은도서관,서울특별시 광진구,서울특별시 광진구 천호대로112길 55(능동주민센터)1층
다니엘 작은도서관,서울특별시 은평구,"서울특별시 은평구 연서로41길 13-3, (불광동)부림교회"
다모아어린이도서관,서울특별시 중랑구,"서울특별시 중랑구 용마산로 370, (면목동)2층"
다빈작은도서관,서울특별시 강서구,"서울특별시 강서구 마곡서로 168, (마곡동)럭스나인오피스텔L동 2층"
다산동작은도서관,서울특별시 중구,서울특별시 중구 동호로12길 89(신당2동경로당)다산동 새마을작은도서관
다섯콩작은도서관,서울특별시 은평구,"서울특별시 은평구 서오릉로4길 10, (녹번동)2층 다섯콩작은도서관"
다솜SH작은도서관,서울특별시 강서구,서울특별시 강서구 마곡서1로 131(마곡엠밸리1단지)2층
다슬작은도서관,서울특별시 성북구,"서울특별시 성북구 장월로 89-10, (장위동)1층"
다양한문화가모이는 어린이도서관 모두,서울특별시 동대문구,"서울특별시 동대문구 이문로 3, (회기동)민족통일빌딩 5층"
다온작은도서관,서울특별시 강동구,"서울특별시 강동구 천중로51길 52, (길동)2층"
다우리 작은도서관,서울특별시 송파구,"서울특별시 송파구 오금로57길 10, (거여동, 성우스타팰리스) B1"
다울작은도서관,서울특별시 동작구,"서울특별시 동작구 사당로20길 132, (사당동)2,3층 "
다움 영어 도서관,서울특별시 강남구,서울특별시 강남구 개포로124길 7다움 영어 작은도서관(일원동)
단꿈작은도서관,서울특별시 용산구,서울특별시 용산구 두텁바위로1길 70
단비작은도서관,서울특별시 영등포구,"서울특별시 영등포구 도신로 63, (도림동)태원빌딩 2층"
달내작은도서관,서울특별시 노원구,서울특별시 노원구 초안산로5길 28(월계2동주민센터)월계2동주민센터
달마을작은도서관(구 목2동 도서방),서울특별시 양천구,서울특별시 양천구 목동중앙본로 120(목2동주민센터)목2동주민센터 2층
달빛마을작은도서관(구 신월3동 도서방),서울특별시 양천구,서울 양천구 신월3동남부순환로 54길 5
담소작은도서관,서울특별시 동작구,"서울특별시 동작구 강남초등길 24, (상도1동)3층"
담쟁이작은도서관,서울특별시 마포구,"서울특별시 마포구 포은로6길 25, (망원동)2층"
답십리1동 아름드리 도서관,서울특별시 동대문구,"서울특별시 동대문구 사가정로 30, (답십리동)3층"
답십리2동 민들레 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 한천로11길 18, (답십리동)주민센터 2층"
당산1동 공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 양산로23길 11, (당산동3가)주민센타2층"
당산2동 공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 당산로41가길 7, (당산동4가)당산2동복합청사 3층"
당성책세상우리세상문고,서울특별시 영등포구,서울특별시 영등포구 당산로16길 252층
닻별 작은도서관,서울특별시 강북구,"서울특별시 강북구 오현로32길 30-16, (번동)2층"
대림1 공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 디지털로 441(대림제1동주민센터)899-2번지 보건소분소 지하 1층
대림2동 공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 대림로23길 25, (대림동)4층 새마을작은도서관"
대림3동 공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 대림로 197, (대림동)주민센터 2층"
대림아파트 작은도서관,서울특별시 성북구,"서울특별시 성북구 길음로 118, (길음동, 길음뉴타운)414동 지하1층"
대방동작은도서관,서울특별시 동작구,"서울특별시 동작구 여의대방로44길 20, (대방동)대방동주민센터 2층"
대조꿈나무어린이도서관,서울특별시 은평구,서울특별시 은평구 연서로20길 24-6(대조어린이도서관)대조꿈나무어린이도서관
대조제일교회꿈꾸는도서관,서울특별시 은평구,"서울특별시 은평구 역말로10가길 22-12, (대조동)"
대치1 작은도서관,서울특별시 강남구,"서울특별시 강남구 남부순환로391길 19, (대치동)대치1문화센터 지하 1층"
대학동 녹두 작은도서관,서울특별시 관악구,서울특별시 관악구 신림로 111(대학동주민센터)2층
대한체육회 작은도서관,서울특별시 송파구,서울특별시 송파구 올림픽로 424(올림픽공원)올림픽문화센터 1층
더미소작은도서관,서울특별시 송파구,"서울특별시 송파구 오금로35길 17, (오금동, 현대아파트)오금현대아파트 B상가 205호"
더바움 문화예술작은도서관,서울특별시 광진구,"서울특별시 광진구 자양로28길 98, (구의동)동양빌딩, 지하1층"
