도서관명,행정구역,주소
생글작은도서관,서울특별시 도봉구,"서울특별시 도봉구 우이천로32길 35, (쌍문동)2층"
생명나무도서관,서울특별시 동작구,"서울특별시 동작구 양녕로 249, (상도1동)3층"
생명샘작은도서관,서울특별시 양천구,"서울특별시 양천구 목동중앙본로3길 10, (목동)2층(대한예수교 장로회 생명샘교회)"
생명의전화종합사회복지관 생명가족작은도서관,서울특별시 성북구,서울특별시 성북구 오패산로 21(생명의전화(종합복지관))3층 생명가족작은도서관
서강어린이영어도서관,서울특별시 마포구,"서울특별시 마포구 백범로 35, (신수동)서강대학교 곤자가국제학사 지층"
서경로꿈마루도서관,서울특별시 성북구,"서울특별시 성북구 서경로 94-1, (정릉동)."
서교동문고,서울특별시 마포구,"서울특별시 마포구 동교로15길 7, (서교동)서교동주민센터 2층"
서남작은 도서관,서울특별시 구로구,"서울특별시 구로구 부일로11길 41, (궁동)서남교회"
서림동 글사랑 작은도서관,서울특별시 관악구,서울특별시 관악구 신림로29길 6(서림동주민센터)2층
서문어린이도서관,서울특별시 은평구,"서울특별시 은평구 가좌로10길 10, (응암동)"
서빙고동 작은도서관,서울특별시 용산구,서울특별시 용산구 서빙고로 279(서빙고동주민센터)1층
서연푸른꿈터문고,서울특별시 성동구,서울 성동구 옥수동436
서영영어전문작은도서관,서울특별시 은평구,"서울특별시 은평구 증산로11길 7-12, (증산동)1층"
서울비전문고,서울특별시 용산구,서울특별시 용산구 원효로71길 24(서울비전교회)
서울역센트럴자이아파트 작은도서관,서울특별시 중구,"서울특별시 중구 만리재로 175, (만리동2가, 서울역센트럴자이)서울역센트럴자이아파트"
서원동 어울 작은도서관,서울특별시 관악구,서울특별시 관악구 신림로 282(서원동주민센터)2층
서원마을작은도서관,서울특별시 강동구,"서울특별시 강동구 올림픽로 936, (암사동)마을회관 2층"
서초1동 작은도서관,서울특별시 서초구,"서울특별시 서초구 사임당로 89, (서초동)"
서초3동 작은도서관,서울특별시 서초구,"서울특별시 서초구 반포대로 58, (서초동, 서초아트자이)"
서초4동 작은도서관,서울특별시 서초구,"서울특별시 서초구 서운로26길 3, (서초동)3층"
서초글벗 작은도서관,서울특별시 서초구,"서울특별시 서초구 방배천로2안길 39, (방배동)서초영락교회 지하1층"
서초네이처힐1단지 작은도서관,서울특별시 서초구,"서울특별시 서초구 형촌길 35, (우면동, 서초네이처힐1단지)작은도서관"
서초더샵포레 작은도서관,서울특별시 서초구,"서울특별시 서초구 헌릉로8길 58 (내곡동, 서초더샵포레)서초더샵포레 작은도서관 1,2관"
서초포레스타3단지 작은도서관,서울특별시 서초구,"서울특별시 서초구 헌릉로8길 22 (신원동, 서초포레스타3단지)304동 주민공동시설 1층"
석관동 새마을문고,서울특별시 성북구,"서울특별시 성북구 화랑로 296, (석관동)석관동 주민센터 3층"
석천문화관,서울특별시 종로구,"서울특별시 종로구 성균관로17길 11, (명륜1가)(명륜1가)"
성광작은도서관,서울특별시 성북구,서울특별시 성북구 보국문로16길 87(예수교 대한성결교회 성광교회).
성내PLUS작은도서관,서울특별시 강동구,"서울특별시 강동구 성내로3길 18, (성내동)지하1층"
성대골어린이도서관,서울특별시 동작구,"서울특별시 동작구 성대로10길 23, (상도동)1층 성대골어린이도서관"
성락도서관,서울특별시 성동구,"서울특별시 성동구 성수일로10길 33, (성수동2가)성락교회 5층 506호"
성메작은도서관,서울특별시 마포구,서울특별시 마포구 월드컵북로30길 22(성산2동주민센터)2층
성미산학교작은도서관 꿈꾸는 다락방,서울특별시 마포구,"서울특별시 마포구 성미산로3나길 6, (성산동)2층"
성북동 새마을문고,서울특별시 성북구,"서울특별시 성북구 성북로 37, (성북동1가)"
성북동 작은도서관,서울특별시 성북구,"서울특별시 성북구 성북로 65-4, (성북동)성북중앙교회 2층"
성북이음도서관,서울특별시 성북구,"서울특별시 성북구 보문로 168, (삼선동5가)12층"
성산글마루작은도서관,서울특별시 마포구,서울특별시 마포구 월드컵북로 235(성산시영아파트)대우복지관 3층
성산작은도서관,서울특별시 은평구,서울특별시 은평구 증산서길 90(성산교회)성산교회
성수1가제1동 작은도서관,서울특별시 성동구,"서울특별시 성동구 뚝섬로3길 18, (성수동1가)성수1가제1동주민센터 2층 로비"
성수1가제2동 어린이작은도서관,서울특별시 성동구,서울특별시 성동구 왕십리로5길 3(성수1가제2동주민센터)성수동1가 685-580 지하1층
성수2가제1동 어린이작은도서관,서울특별시 성동구,"서울특별시 성동구 뚝섬로 385-19, (성수동2가)성수2가제1동주민센터 2층"
성수2가제3동 작은도서관,서울특별시 성동구,"서울특별시 성동구 광나루로2길 35, (성수동2가)성수2가제3동주민센터 5층"
성신 비전스쿨 작은도서관,서울특별시 광진구,"서울특별시 광진구 동일로 160, (화양동)성신비전스쿨 작은도서관"
성원아파트문고,서울특별시 중랑구,"서울특별시 중랑구 신내로 51, (신내동, 성원아파트)1층"
성현동 파랑새 작은도서관,서울특별시 관악구,서울특별시 관악구 구암길 38(성현동 주민센터)2층
세곡도서관,서울특별시 강남구,"서울특별시 강남구 밤고개로 286, (율현동)세곡도서관"
세곡마루도서관,서울특별시 강남구,"서울특별시 강남구 헌릉로590길 68, (세곡동)세곡커뮤니티센터 내"
세레니티문고,서울특별시 성북구,서울특별시 성북구 종암로23길 35(래미안세레니티)205동 로비층
세방도서관,서울특별시 중랑구,"서울특별시 중랑구 숙선옹주로9길 25, (묵동, 세방아파트)102동 606호"
세빛도서관,서울특별시 서대문구,"서울특별시 서대문구 통일로35길 18, (홍제동)2층"
소나무언덕1호 작은도서관,서울특별시 송파구,"서울특별시 송파구 올림픽로47길 9, (풍납동, 쌍용아파트)3층"
소나무언덕4호 작은도서관,서울특별시 송파구,"서울특별시 송파구 송이로 34, (송파동)"
소리마을작은도서관,서울특별시 성북구,"서울특별시 성북구 삼양로9길 14-7, (길음동)2층"
소망의나무어린이 작은도서관,서울특별시 금천구,"서울특별시 금천구 금하로11길 22, (시흥동)시흥교회 소망관 2층"
솔뫼작은도서관,서울특별시 강서구,"서울특별시 강서구 가로공원로77길 30, (화곡동)2층"
솔밭작은도서관,서울특별시 도봉구,"서울특별시 도봉구 우이천로48길 4, (쌍문동)2층"
솔향기 북카페,서울특별시 강동구,"서울특별시 강동구 고덕로97길 20, (강일동, 강일리버파크10단지아파트)관리동 2층"
솜니움 독서코칭 전문도서관,서울특별시 노원구,"서울특별시 노원구 한글비석로15길 11, (중계동)중계빌딩 2층"
송정 작은도서관,서울특별시 강서구,서울특별시 강서구 송정로 45(공항동주민센터)2층
송중동 새마을문고,서울특별시 강북구,"서울특별시 강북구 오패산로 162, (미아동)3층"
송천 아름인 도서관,서울특별시 강북구,"서울특별시 강북구 솔샘로 271, (미아동)송천아름인지역아동센터 3층"
송천동 새마을문고,서울특별시 강북구,"서울특별시 강북구 솔샘로 284, (미아동)2층"
송파1동새마을문고,서울특별시 송파구,서울특별시 송파구 백제고분로 392(송파1동주민센터)동주민센터 2층
송파2동새마을문고,서울특별시 송파구,서울특별시 송파구 송이로 32(송파2동주민센터)동주민센터 2층
송파꿈꾸는작은도서관,서울특별시 송파구,"서울특별시 송파구 동남로 341, (오금동, 송파레미니스2단지)송파레미니스 2단지 주민공동시설 1-2층"
송파꿈에그린작은도서관,서울특별시 송파구,서울특별시 송파구 위례광장로 121(위례24단지)2401동 1층
송파더센트레작은도서관,서울특별시 송파구,"서울특별시 송파구 위례광장로 163, (장지동, 위례22단지)주민공공시설1(2201동 1층)"
송파파크데일1단지 작은도서관,서울특별시 송파구,"서울특별시 송파구 성내천로37길 37, (마천동, 송파파크데일1단지)"
수궁동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 오리로15길 32, (궁동)수궁동주민센터"
수락작은도서관,서울특별시 노원구,"서울특별시 노원구 덕릉로 859, (상계동)상계3.4동주민센터 3층 수락작은도서관"
수명산작은도서관,서울특별시 강서구,서울특별시 강서구 수명로1길 131(내발산동공공기숙사)지하1층
수색한숲도서관,서울특별시 은평구,"서울특별시 은평구 은평터널로 66, (수색동, 대림한숲타운아파트)제2관리사무소 관리동 1층"
수서동 작은도서관,서울특별시 강남구,"서울특별시 강남구 광평로 301-4, (수서동)수서동주민센터"
수송작은도서관,서울특별시 서초구,"서울특별시 서초구 신반포로41길 17, (잠원동)"
수어영상도서관,서울특별시 서대문구,서울특별시 서대문구 수색로4가길 23 (남가좌동)1층
수유1동 새마을문고 ,서울특별시 강북구,"서울특별시 강북구 삼양로 299, (수유동)2층"
수유2동 새마을문고,서울특별시 강북구,"서울특별시 강북구 한천로 1117, (수유동)2층"
수유3동 새마을문고,서울특별시 강북구,"서울특별시 강북구 노해로 36, (수유동)2층"
수유마을작은도서관,서울특별시 강북구,"서울특별시 강북구 도봉로71길 26, (수유동)2층"
숭인마루 작은도서관,서울특별시 종로구,서울특별시 종로구 지봉로 86(숭인제1동주민센터)숭인1동 주민센터 2층
숲 속 북카페,서울특별시 양천구,"서울특별시 양천구 신정로 110, (신정동, 신정숲속마을)신정 숲 속 마을 주민공동시설 2층"
숲속 작은도서관,서울특별시 관악구,서울 관악구 대학동산50-2
숲속SH 작은도서관,서울특별시 구로구,"서울특별시 구로구 항동로 43, (항동, 하버라인 3단지)숲속sh작은도서관"
숲속별 작은도서관,서울특별시 서초구,"서울특별시 서초구 헌릉로8길 45, (내곡동, 서초 포레스타 2단지)숲속별작은도서관"
숲속향기 작은도서관,서울특별시 은평구,서울특별시 은평구 연서로48길 12(은평뉴타운제각말아파트)501동 앞
슈필라움 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 전농로16길 30, (전농동)2층"
스토리빈 작은도서관,서울특별시 송파구,서울특별시 송파구 중대로 56(국제빌딩)2층 203호
스토리지 작은영어도서관,서울특별시 송파구,"서울특별시 송파구 문정로13길 15-5, (가락동)102"
승리행복작은도서관,서울특별시 강서구,"서울특별시 강서구 곰달래로 220, (화곡동)301호"
시루뫼쉼터,서울특별시 은평구,서울특별시 은평구 증산서길 89(증산동주민센터)5층
시민과 함께하는 연구자의 집 작은도서관,서울특별시 용산구,"서울특별시 용산구 한강대로53길 5, (한강로2가)부림빌딩 5층"
시온교회 작은도서관,서울특별시 서초구,"서울특별시 서초구 서초대로 84, (방배동)시온교회"
신길1동공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 영등포로84길 24-5(신길종합사회복지관)2층 작은도서관
신길2동 공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 영등포로64길 15청소년문화회관 내 1층 문고
신길3동 공립작은도서관(생각나무),서울특별시 영등포구,서울특별시 영등포구 신길로41라길 13-8(신길3동주민센터)신길3동주민센터 2층
신길4동 공립작은도서관(드나드리),서울특별시 영등포구,"서울특별시 영등포구 신길로42길 1, (신길동)신길4동주민센터"
신길5동공립작은도서관(꿈터),서울특별시 영등포구,서울특별시 영등포구 도림로 264(신길5동주민센터)3층
신길6동 공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 대방천로 193(구립신길6동복지회관)
신길7동 공립작은도서관(마음서랍),서울특별시 영등포구,서울특별시 영등포구 여의대방로43길 10(신길7동주민센터)신길7동 주민센터 5층
신내 지혜담은 도서관,서울특별시 중랑구,서울특별시 중랑구 봉화산로 194(신아타운)4층
신내2동 북카페,서울특별시 중랑구,"서울특별시 중랑구 봉화산로 190, (신내동)2층 관상복합청사"
신내우디안1단지 도담도담도서관,서울특별시 중랑구,"서울특별시 중랑구 신내역로1길 85, (신내동, 신내우디안1단지)111동 1층"
신내우디안2단지 나무그늘도서관,서울특별시 중랑구,서울특별시 중랑구 신내역로 165(신내우디안2단지)203동 1층
신내종합사회복지관 맘편한 공부방,서울특별시 중랑구,"서울특별시 중랑구 봉화산로 153, (상봉동, 신내12단지신내아파트)3층"
신당5동작은도서관,서울특별시 중구,서울특별시 중구 퇴계로90길 42(경로당)2층
신당동작은도서관,서울특별시 중구,서울특별시 중구 다산로29길 10(신당1동 노인복지관)2층
신대방1동 작은도서관,서울특별시 동작구,"서울특별시 동작구 신대방길 72, (신대방동)(신대방1동 주민센터) 2층"
신대방2동작은도서관,서울특별시 동작구,"서울특별시 동작구 여의대방로24길 76, (신대방동)신대방2동 주민센터 3층"
신도림동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 신도림로 40, (신도림동)신도림동 주민자치센터 2층"
신도림어린이영어작은도서관,서울특별시 구로구,"서울특별시 구로구 신도림로 40, (신도림동)신도림동주민센터2층"
신림동 굴렁쇠 작은도서관,서울특별시 관악구,서울특별시 관악구 신림동길 14(신림동주민센터)2층
신사동 작은도서관,서울특별시 강남구,"서울특별시 강남구 압구정로 128, (신사동)(신사동주민센터)"
신사동 해오름 작은도서관,서울특별시 관악구,서울특별시 관악구 조원로 151-1(신사경로당)3층
신사어린이도서관,서울특별시 은평구,서울특별시 은평구 은평로 38(신사종합사회복지관)26-18
신상도문고,서울특별시 동작구,"서울특별시 동작구 양녕로20길 108, (상도동)신상도교회건물 3층"
신수동문고,서울특별시 마포구,"서울특별시 마포구 독막로 192, (신수동)신수동주민센터"
신원동 울타리 작은도서관,서울특별시 관악구,서울특별시 관악구 신원로3길 13-6(신원동주민센터)2층
신월6동 도서방,서울특별시 양천구,"서울특별시 양천구 남부순환로 609, (신월동)4층"
신월7동 도서방,서울특별시 양천구,서울 양천구 신월7동남부순환로 70길 16-3
신일문고,서울특별시 중랑구,"서울특별시 중랑구 상봉로20길 77, (망우동)신일교회 1층"
신정1동 그린나래 작은도서관,서울특별시 양천구,"서울특별시 양천구 중앙로32길 1, (신정동)신정1동주민센터 2층"
신정6동 도서방,서울특별시 양천구,서울 양천구 신정6동목동서로 353
신정7동 도서방,서울특별시 양천구,서울 양천구 신정7동목동동로 37
신창영어작은도서관,서울특별시 도봉구,"서울특별시 도봉구 덕릉로 249, (창동)3층"
쌍문1동 공립 작은도서관,서울특별시 도봉구,"서울특별시 도봉구 노해로 147, (쌍문동)쌍문1동주민센터"
쌍문2동 공립 작은도서관,서울특별시 도봉구,"서울특별시 도봉구 방학로3길 117, (쌍문동)보건소 7층"
쌍문3동 공립 작은도서관,서울특별시 도봉구,"서울특별시 도봉구 노해로44길 9, (쌍문동)쌍문3동주민센터"
쌍문4동 공립 작은도서관,서울특별시 도봉구,"서울특별시 도봉구 시루봉로 62-7, (쌍문동)쌍문4동주민센터 2층"
쌍용도서관,서울특별시 영등포구,"서울특별시 영등포구 도영로7길 15, (도림동, 쌍용플래티넘시티1단지)쌍용플레티넘시티 104동 2층"
쎌북작은도서관,서울특별시 마포구,"서울특별시 마포구 신촌로12길 11, (노고산동)신촌성결교회"
씨넷도서관,서울특별시 서초구,"서울특별시 서초구 남부순환로333길 36, (서초동)해원빌딩 지하1층"
씨앗작은도서관,서울특별시 도봉구,"서울특별시 도봉구 도봉로 901, (도봉동)부성빌딩 402호"
씽크엘 작은도서관,서울특별시 강북구,"서울특별시 강북구 삼양로54길 92, (미아동)1층, 3층, 4층"
아낌없이주는나무,서울특별시 서대문구,"서울특별시 서대문구 독립문로12길 17, (천연동)서은교회1층"
아띠 작은도서관,서울특별시 성북구,"서울특별시 성북구 서경로 63, (정릉동)2층"
아름다운 꿈 작은도서관,서울특별시 송파구,"서울특별시 송파구 마천로 305, (마천동)3층"
아름다운 도서관,서울특별시 강남구,"서울특별시 강남구 삼성로70길 4, (대치동)지하 1층"
아름다운도서관,서울특별시 도봉구,"서울특별시 도봉구 도봉로104길 63, (창동)"
아름도서관,서울특별시 구로구,"서울특별시 구로구 부일로9길 127, (온수동, 온수힐스테이트)관리동2층 아름도서관"
아름드리작은도서관,서울특별시 광진구,서울특별시 광진구 워커힐로 93(정립회관)본관 2층
아름드리작은도서관,서울특별시 마포구,서울특별시 마포구 방울내로7길 11(망원2동주민센터)1층
아름숲작은도서관,서울특별시 동대문구,서울특별시 동대문구 전농로16길 51(래미안아름숲아파트)110동 지하1층
아리향기 작은도서관,서울특별시 강서구,서울특별시 강서구 양천로67가길 63(염창동주민센터)염창동 주민센터 2층
아빠하우스작은도서관,서울특별시 강동구,"서울특별시 강동구 아리수로93나길 60, (강일동)505호"
아이도북센터,서울특별시 마포구,서울특별시 마포구 만리재로 29(사랑의전화종합사회복지관)아이도북센터
아인 어린이 작은도서관,서울특별시 양천구,"서울특별시 양천구 신정로13길 21, (신정동)3층"
아주좋은꿈터 작은도서관,서울특별시 동대문구,"서울특별시 동대문구 왕산로16가길 7, (용두동)아주좋은꿈터"
아차산아래 작은도서관 놀자,서울특별시 광진구,서울특별시 광진구 자양로50가길 452층
아트&힐링작은도서관,서울특별시 동작구,"서울특별시 동작구 상도로62길 61, (상도동)성심빌딩"
안말작은도서관,서울특별시 강동구,"서울특별시 강동구 풍성로37가길 62, (성내동)성내2동주민센터 2층"
안암동 새마을문고,서울특별시 성북구,"서울특별시 성북구 고려대로 16, (안암동2가)안암동주민센터 3층 새마을문고"
압구정동 작은도서관,서울특별시 강남구,"서울특별시 강남구 압구정로33길 48, (압구정동)압구정동주민센터"
애스톤파크 작은도서관,서울특별시 동작구,"서울특별시 동작구 상도로 346-2, (상도동, 상도엠코타운 애스톤파크)애스톤파크작은도서관"
약수 작은도서관,서울특별시 중구,"서울특별시 중구 동호로5길 19, (신당동)1층"
양문작은도서관,서울특별시 동작구,"서울특별시 동작구 시흥대로 646, (신대방동)1층"
양원역 도서관,서울특별시 중랑구,"서울특별시 중랑구 송림길 147, (망우동)1층(1번출구)"
양재1동 작은도서관,서울특별시 서초구,"서울특별시 서초구 바우뫼로 41, (우면동)2층 작은도서관"
양재2동 작은도서관,서울특별시 서초구,"서울특별시 서초구 강남대로12길 44, (양재동)1층"
양평1동 공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 영등포로11길 12(양평1동주민센터)211-1
양평2동 공립작은도서관,서울특별시 영등포구,"서울특별시 영등포구 선유로47길 30, (양평동4가)4층(양평2동주민센터)"
어깨동무어린이도서관,서울특별시 서대문구,서울 서대문구 북가좌동458
어린이 작은도서관 주영심 나무,서울특별시 광진구,서울특별시 광진구 용마산로1길 91101호
어린이도서관 꿈과쉼,서울특별시 종로구,서울특별시 종로구 삼청로 77(삼청감리교회)삼청교회 내
어린이도서관 꿈틀,서울특별시 동대문구,"서울특별시 동대문구 전농로16길 59, (전농동)1층"
어린이도서관 느티나무,서울특별시 중구,서울특별시 중구 다산로 75다니엘빌딩 2층
어린이도서관 동네북,서울특별시 은평구,서울특별시 은평구 진흥로 174양광비전센터 3층
어린이도서관 책읽는엄마 책읽는 아이,서울특별시 성동구,"서울특별시 성동구 매봉18길 11, (금호동3가)마을소통공간 산책 1층"
어울림 북터 작은 도서관,서울특별시 성북구,"서울특별시 성북구 동소문로34길 73, (돈암동, 길음역 금호어울림 센터힐)103동 커뮤니티 2층"
어울림작은도서관,서울특별시 강서구,"서울특별시 강서구 마곡중앙1로 72, (마곡동, 마곡엠밸리10단지)1층"
언남돌봄 작은도서관,서울특별시 서초구,"서울특별시 서초구 강남대로10길 65, (양재동)3층"
언니네작은도서관,서울특별시 영등포구,"서울특별시 영등포구 가마산로 337, (대림동)미루빌딩 4층"
에델도서관,서울특별시 구로구,"서울특별시 구로구 천왕로 47, (천왕동)에델마을 복지회관"
에듀 NGO 작은도서관,서울특별시 종로구,"서울특별시 종로구 대학로 19, (연지동)704호"
에듀까페&#34;맘&#34;작은도서관,서울특별시 영등포구,"서울특별시 영등포구 대방천로 140-1, (신길동)신길동"
에듀카페&#39;맘&#39;작은도서관,서울특별시 마포구,"서울특별시 마포구 성미산로17길 92-1, (연남동)지층"
에듀카페맘(양천),서울특별시 양천구,"서울특별시 양천구 월정로48길 15-2, (신월동)1,2층"
에셀나무 작은도서관,서울특별시 중랑구,"서울특별시 중랑구 겸재로3길 52, (면목동)2층"
에코리치 작은도서관,서울특별시 서초구,"서울특별시 서초구 양재대로2길 109, (우면동, 서초참누리에코리치)에코리치 작은도서관"
엘림 작은도서관,서울특별시 강북구,"서울특별시 강북구 도봉로34길 43-13, (미아동)엘림 작은도서관"
엘림 작은도서관,서울특별시 강동구,"서울특별시 강동구 천호대로 1095, (천호동, 현대코아아파트)511호"
엘벧엘 T.C.S. 작은도서관,서울특별시 양천구,"서울특별시 양천구 지양로2길 30, (신월동)4층"
여의동 공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 국제금융로 124(여의동주민센터) 여의동주민센터 3층
역마루작은도서관,서울특별시 은평구,서울특별시 은평구 연서로 59(역촌동주민센터)역촌동 주민센터
역마을 작은도서관,서울특별시 강서구,서울특별시 강서구 화곡로 312(화곡6동주민센터)2층
역삼2 작은도서관,서울특별시 강남구,"서울특별시 강남구 언주로 314, (역삼동)강남프라자 208호"
연세 작은도서관,서울특별시 양천구,"서울특별시 양천구 오목로 64-3, (신월동)2층"
연지타운1단지작은도서관,서울특별시 구로구,서울특별시 구로구 오류로 30(천왕연지타운1단지)103동 1층
연희동 아이누리작은도서관,서울특별시 서대문구,"서울특별시 서대문구 증가로 13-10, (연희동)연희동자치회관 2층"
연희파크푸르지오 작은도서관,서울특별시 서대문구,"서울특별시 서대문구 홍제천로 136, (연희동, 연희파크푸르지오)uz센터"
열린숲 작은도서관,서울특별시 구로구,"서울특별시 구로구 디지털로33길 27, (구로동)1층(삼성아이티밸리)"
열린작은도서관,서울특별시 노원구,서울특별시 노원구 공릉로55길 88(하계2동 주민센터)하계2동주민센터
열림카페속작은도서관,서울특별시 동작구,"서울특별시 동작구 여의대방로44길 22, (대방동)열림카페속작은도서관"
염리동문고,서울특별시 마포구,서울특별시 마포구 숭문길 14(염리동 주민센터)염리동주민센터
염창작은도서관,서울특별시 강서구,"서울특별시 강서구 공항대로75길 30, (염창동, 삼정그린코아)상가동 301호"
영광영재도서관,서울특별시 은평구,"서울특별시 은평구 갈현로7가길 10, (역촌동)제일영광교회"
영등포구지부공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 국회대로 596(영등포구민회관) 구민회관 3층
영등포동 공립 작은도서관,서울특별시 영등포구,"서울특별시 영등포구 국회대로44길 4, (영등포동7가)자치회관 1층"
영등포본동 공립작은도서관,서울특별시 영등포구,서울특별시 영등포구 신길로61길 17(영등포본동주민센터)3층
영지도서관,서울특별시 중랑구,"서울특별시 중랑구 공릉로2가길 9, (묵동)B101"
예광독서방,서울특별시 중랑구,서울특별시 중랑구 면목로78길 13(예광교회)1층
예꿈틀어린이도서관,서울특별시 송파구,"서울특별시 송파구 오금로46길 28, (가락동)중원빌딩3층"
예드림작은도서관,서울특별시 광진구,"서울특별시 광진구 구의강변로 96, (구의동)현대6차종합상가 b101호"
예뜰도서관,서울특별시 은평구,서울특별시 은평구 은평로3길 7(은평비전센터)은평비젼센터 1층
예뜰작은도서관,서울특별시 강서구,서울특별시 강서구 강서로17길 133(진성빌딩)예뜰문고
예샘교회 작은도서관,서울특별시 구로구,"서울특별시 구로구 중앙로6길 40, (고척동)3층"
예인작은도서관,서울특별시 송파구,"서울특별시 송파구 오금로46길 62, (가락동)3층"
예인작은도서관,서울특별시 강서구,"서울특별시 강서구 방화대로34길 120, (마곡동, 신안빌라)201호 신안빌라상가"
오금동새마을문고(오동나무작은도서관),서울특별시 송파구,서울특별시 송파구 중대로25길 5(오금동주민센터)동주민센터 2층
오렌지나무 작은도서관,서울특별시 용산구,"서울특별시 용산구 새창로12길 13, (도원동)용문동주민센터 1층"
오류1동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 경인로27길 10, (오류동)2층(3층)"
오류2동 새마을 작은도서관,서울특별시 구로구,"서울특별시 구로구 오리로10길 44-5, (오류동)."
오륜동새마을문고,서울특별시 송파구,"서울특별시 송파구 양재대로 1232, (방이동)동주민센터 3층"
오손도손 우리동네 작은도서관,서울특별시 동작구,"서울특별시 동작구 양녕로 266, (상도1동)2층"
오패산마을공동체마을꿈터작은도서관,서울특별시 강북구,서울특별시 강북구 오현로 31(삼화그린빌)102호
옥수동 작은도서관,서울특별시 성동구,"서울특별시 성동구 독서당로 203, (옥수동)옥수동공공복합청사 5층"
올리브나무작은도서관 ,서울특별시 성동구,"서울특별시 성동구 독서당로 227, (옥수동)4층"
옹기종기작은도서관,서울특별시 강서구,서울특별시 강서구 공항대로61길 50(염창동지역정보센터)염창지역정보센터 내
옹기종기작은도서관,서울특별시 강동구,"서울특별시 강동구 양재대로 1512, (길동)2층"
